,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
171,71,69,22,17,6412.0,21,6373.5,14,-1183,0,0,0,"(47, 0.015, 0.7)"
172,77,63,19,18,6450.5,21,6408.5,14,-1169,14,0,0,"(47, 0.015, 0.7)"
173,71,69,22,17,6489.0,21,6450.5,14,-1197,0,0,0,"(47, 0.015, 0.7)"
174,77,63,19,18,6527.5,21,6485.5,14,-1183,14,0,0,"(47, 0.015, 0.7)"
175,71,69,22,17,6566.0,21,6527.5,14,-1211,0,0,0,"(47, 0.015, 0.7)"
176,77,63,19,18,6604.5,21,6562.5,14,-1197,14,0,0,"(47, 0.015, 0.7)"
177,71,69,22,17,6643.0,21,6604.5,14,-1225,0,0,0,"(47, 0.015, 0.7)"
178,77,63,19,18,6681.5,21,6639.5,14,-1211,14,0,0,"(47, 0.015, 0.7)"
179,71,69,22,17,6720.0,21,6681.5,14,-1239,0,0,0,"(47, 0.015, 0.7)"
180,77,63,19,18,6758.5,21,6716.5,14,-1225,14,0,0,"(47, 0.015, 0.7)"
181,71,69,22,17,6797.0,21,6758.5,14,-1253,0,0,0,"(47, 0.015, 0.7)"
182,77,63,19,18,6835.5,21,6793.5,14,-1239,14,0,0,"(47, 0.015, 0.7)"
183,71,69,22,17,6874.0,21,6835.5,14,-1267,0,0,0,"(47, 0.015, 0.7)"
184,77,63,19,18,6912.5,21,6870.5,14,-1253,14,0,0,"(47, 0.015, 0.7)"
185,71,69,22,17,6951.0,21,6912.5,14,-1281,0,0,0,"(47, 0.015, 0.7)"
186,77,63,19,18,6989.5,21,6947.5,14,-1267,14,0,0,"(47, 0.015, 0.7)"
187,71,69,22,17,7028.0,21,6989.5,14,-1295,0,0,0,"(47, 0.015, 0.7)"
188,77,63,19,18,7066.5,21,7024.5,14,-1281,14,0,0,"(47, 0.015, 0.7)"
189,71,69,22,17,7105.0,21,7066.5,14,-1309,0,0,0,"(47, 0.015, 0.7)"
190,77,63,19,18,7143.5,21,7101.5,14,-1295,14,0,0,"(47, 0.015, 0.7)"
191,71,69,22,17,7182.0,21,7143.5,14,-1323,0,0,0,"(47, 0.015, 0.7)"
192,77,63,19,18,7220.5,21,7178.5,14,-1309,14,0,0,"(47, 0.015, 0.7)"
