,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,Model Params
103,8,0,0,0,463.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
104,8,0,0,0,468.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
105,8,0,0,0,472.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
106,8,0,0,0,477.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
107,8,0,0,0,481.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
108,8,0,0,0,486.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
109,8,0,0,0,490.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
110,8,0,0,0,495.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
111,8,0,0,0,499.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
112,8,0,0,0,504.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
113,8,0,0,0,508.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
114,8,0,0,0,513.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
115,8,0,0,0,517.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
116,8,0,0,0,522.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
117,8,0,0,0,526.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
118,8,0,0,0,531.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
119,8,0,0,0,535.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
120,8,0,0,0,540.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
121,8,0,0,0,544.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
122,8,0,0,0,549.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
123,8,0,0,0,553.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
124,8,0,0,0,558.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
125,8,0,0,0,562.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
126,8,0,0,0,567.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
127,8,0,0,0,571.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
128,8,0,0,0,576.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
129,8,0,0,0,580.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
130,8,0,0,0,585.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
131,8,0,0,0,589.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
132,8,0,0,0,594.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
133,8,0,0,0,598.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
134,8,0,0,0,603.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
135,8,0,0,0,607.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
136,8,0,0,0,612.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
137,8,0,0,0,616.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
138,8,0,0,0,621.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
139,8,0,0,0,625.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
140,8,0,0,0,630.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
141,8,0,0,0,634.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
142,8,0,0,0,639.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
143,8,0,0,0,643.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
144,8,0,0,0,648.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
145,8,0,0,0,652.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
146,8,0,0,0,657.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
147,8,0,0,0,661.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
148,8,0,0,0,666.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
149,8,0,0,0,670.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
150,8,0,0,0,675.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
151,8,0,0,0,679.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
152,8,0,0,0,684.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
153,8,0,0,0,688.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
154,8,0,0,0,693.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
155,8,0,0,0,697.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
156,8,0,0,0,702.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
157,8,0,0,0,706.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
158,8,0,0,0,711.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
159,8,0,0,0,715.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
160,8,0,0,0,720.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
