stepcount_1,strategy_1,strat code_1,move_1,probabilities_1,utility_1,common_move_1,number_coop_1,number_defect_1,outcomes_1,p1_1,p2_1,p3_1,p4_1,u1_1,u2_1,u3_1,u4_1,m1_1,m2_1,m3_1,m4_1,uv_1,wm_1,nc_1,mutC_1
42,VPP,6,{2: 'C'},{2: 0.5850000000000001},9.5,['C'],1,0,"{2: ['C', 'D']}",0.5850000000000001,None,None,None,7.5,None,None,None,1,None,None,None,0.01,{},1,0
43,VPP,6,{2: 'D'},{2: 0.5650000000000001},7.5,['D'],0,1,"{2: ['D', 'C']}",0.5650000000000001,None,None,None,9.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
44,VPP,6,{2: 'D'},{2: 0.5750000000000001},9.5,['D'],0,1,"{2: ['D', 'D']}",0.5750000000000001,None,None,None,10.5,None,None,None,2,None,None,None,0.01,{},0,0
45,VPP,6,{2: 'C'},{2: 0.56},10.5,['C'],1,0,"{2: ['C', 'C']}",0.56,None,None,None,12.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
46,VPP,6,{2: 'C'},{2: 0.545},12.0,['C'],1,0,"{2: ['C', 'C']}",0.545,None,None,None,13.5,None,None,None,1,None,None,None,0.01,{},1,1
47,VPP,6,{2: 'D'},{2: 0.555},13.5,['D'],0,1,"{2: ['D', 'D']}",0.555,None,None,None,14.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
48,VPP,6,{2: 'C'},{2: 0.5750000000000001},14.5,['C'],1,0,"{2: ['C', 'D']}",0.5750000000000001,None,None,None,12.5,None,None,None,1,None,None,None,0.01,{},1,0
49,VPP,6,{2: 'D'},{2: 0.5850000000000001},12.5,['D'],0,1,"{2: ['D', 'D']}",0.5850000000000001,None,None,None,13.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
50,VPP,6,{2: 'C'},{2: 0.6050000000000001},13.5,['C'],1,0,"{2: ['C', 'D']}",0.6050000000000001,None,None,None,11.5,None,None,None,1,None,None,None,0.01,{},1,0
51,VPP,6,{2: 'D'},{2: 0.6150000000000001},11.5,['D'],0,1,"{2: ['D', 'D']}",0.6150000000000001,None,None,None,12.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
52,VPP,6,{2: 'C'},{2: 0.6350000000000001},12.5,['C'],1,0,"{2: ['C', 'D']}",0.6350000000000001,None,None,None,10.5,None,None,None,1,None,None,None,0.01,{},1,0
53,VPP,6,{2: 'C'},{2: 0.6200000000000001},10.5,['C'],1,0,"{2: ['C', 'C']}",0.6200000000000001,None,None,None,12.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
54,VPP,6,{2: 'D'},{2: 0.6300000000000001},12.0,['D'],0,1,"{2: ['D', 'D']}",0.6300000000000001,None,None,None,13.0,None,None,None,2,None,None,None,0.01,{},0,0
55,VPP,6,{2: 'D'},{2: 0.6100000000000001},13.0,['D'],0,1,"{2: ['D', 'C']}",0.6100000000000001,None,None,None,15.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
56,VPP,6,{2: 'C'},{2: 0.5950000000000001},15.0,['C'],1,0,"{2: ['C', 'C']}",0.5950000000000001,None,None,None,16.5,None,None,None,1,None,None,None,0.01,{},1,1
57,VPP,6,{2: 'C'},{2: 0.6150000000000001},16.5,['C'],1,0,"{2: ['C', 'D']}",0.6150000000000001,None,None,None,14.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
58,VPP,6,{2: 'D'},{2: 0.5950000000000001},14.5,['D'],0,1,"{2: ['D', 'C']}",0.5950000000000001,None,None,None,16.5,None,None,None,2,None,None,None,0.01,{},0,0
59,VPP,6,{2: 'C'},{2: 0.5800000000000001},16.5,['C'],1,0,"{2: ['C', 'C']}",0.5800000000000001,None,None,None,18.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
60,VPP,6,{2: 'D'},{2: 0.5900000000000001},18.0,['D'],0,1,"{2: ['D', 'D']}",0.5900000000000001,None,None,None,19.0,None,None,None,2,None,None,None,0.01,{},0,0
61,VPP,6,{2: 'C'},{2: 0.6100000000000001},19.0,['C'],1,0,"{2: ['C', 'D']}",0.6100000000000001,None,None,None,17.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
62,VPP,6,{2: 'D'},{2: 0.6200000000000001},17.0,['D'],0,1,"{2: ['D', 'D']}",0.6200000000000001,None,None,None,18.0,None,None,None,2,None,None,None,0.01,{},0,0
63,VPP,6,{2: 'C'},{2: 0.6400000000000001},18.0,['C'],1,0,"{2: ['C', 'D']}",0.6400000000000001,None,None,None,16.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
64,VPP,6,{2: 'D'},{2: 0.6200000000000001},16.0,['D'],0,1,"{2: ['D', 'C']}",0.6200000000000001,None,None,None,18.0,None,None,None,2,None,None,None,0.01,{},0,0
65,VPP,6,{2: 'C'},{2: 0.6400000000000001},18.0,['C'],1,0,"{2: ['C', 'D']}",0.6400000000000001,None,None,None,16.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
66,VPP,6,{2: 'C'},{2: 0.6250000000000001},16.0,['C'],1,0,"{2: ['C', 'C']}",0.6250000000000001,None,None,None,17.5,None,None,None,1,None,None,None,0.01,{},1,1
67,VPP,6,{2: 'C'},{2: 0.6450000000000001},17.5,['C'],1,0,"{2: ['C', 'D']}",0.6450000000000001,None,None,None,15.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
68,VPP,6,{2: 'C'},{2: 0.6650000000000001},15.5,['C'],1,0,"{2: ['C', 'D']}",0.6650000000000001,None,None,None,13.5,None,None,None,1,None,None,None,0.01,{},1,0
69,VPP,6,{2: 'C'},{2: 0.6850000000000002},13.5,['C'],1,0,"{2: ['C', 'D']}",0.6850000000000002,None,None,None,11.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
70,VPP,6,{2: 'D'},{2: 0.6650000000000001},11.5,['D'],0,1,"{2: ['D', 'C']}",0.6650000000000001,None,None,None,13.5,None,None,None,2,None,None,None,0.01,{},0,0
71,VPP,6,{2: 'D'},{2: 0.6450000000000001},13.5,['D'],0,1,"{2: ['D', 'C']}",0.6450000000000001,None,None,None,15.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
72,VPP,6,{2: 'D'},{2: 0.6250000000000001},15.5,['D'],0,1,"{2: ['D', 'C']}",0.6250000000000001,None,None,None,17.5,None,None,None,2,None,None,None,0.01,{},0,0
73,VPP,6,{2: 'D'},{2: 0.6050000000000001},17.5,['D'],0,1,"{2: ['D', 'C']}",0.6050000000000001,None,None,None,19.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
74,VPP,6,{2: 'D'},{2: 0.6150000000000001},19.5,['D'],0,1,"{2: ['D', 'D']}",0.6150000000000001,None,None,None,20.5,None,None,None,2,None,None,None,0.01,{},0,0
75,VPP,6,{2: 'D'},{2: 0.5950000000000001},20.5,['D'],0,1,"{2: ['D', 'C']}",0.5950000000000001,None,None,None,22.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
76,VPP,6,{2: 'C'},{2: 0.5800000000000001},22.5,['C'],1,0,"{2: ['C', 'C']}",0.5800000000000001,None,None,None,24.0,None,None,None,1,None,None,None,0.01,{},1,1
77,VPP,6,{2: 'C'},{2: 0.6000000000000001},24.0,['C'],1,0,"{2: ['C', 'D']}",0.6000000000000001,None,None,None,22.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
78,VPP,6,{2: 'D'},{2: 0.6100000000000001},22.0,['D'],0,1,"{2: ['D', 'D']}",0.6100000000000001,None,None,None,23.0,None,None,None,2,None,None,None,0.01,{},0,0
79,VPP,6,{2: 'D'},{2: 0.6200000000000001},23.0,['D'],0,1,"{2: ['D', 'D']}",0.6200000000000001,None,None,None,24.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
80,VPP,6,{2: 'D'},{2: 0.6300000000000001},24.0,['D'],0,1,"{2: ['D', 'D']}",0.6300000000000001,None,None,None,25.0,None,None,None,2,None,None,None,0.01,{},0,0
81,VPP,6,{2: 'D'},{2: 0.6400000000000001},25.0,['D'],0,1,"{2: ['D', 'D']}",0.6400000000000001,None,None,None,26.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
82,VPP,6,{2: 'C'},{2: 0.6250000000000001},26.0,['C'],1,0,"{2: ['C', 'C']}",0.6250000000000001,None,None,None,27.5,None,None,None,1,None,None,None,0.01,{},1,1
83,VPP,6,{2: 'D'},{2: 0.6050000000000001},27.5,['D'],0,1,"{2: ['D', 'C']}",0.6050000000000001,None,None,None,29.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
84,VPP,6,{2: 'C'},{2: 0.5900000000000001},29.5,['C'],1,0,"{2: ['C', 'C']}",0.5900000000000001,None,None,None,31.0,None,None,None,1,None,None,None,0.01,{},1,1
85,VPP,6,{2: 'D'},{2: 0.5700000000000001},31.0,['D'],0,1,"{2: ['D', 'C']}",0.5700000000000001,None,None,None,33.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
86,VPP,6,{2: 'D'},{2: 0.5800000000000001},33.0,['D'],0,1,"{2: ['D', 'D']}",0.5800000000000001,None,None,None,34.0,None,None,None,2,None,None,None,0.01,{},0,0
87,VPP,6,{2: 'D'},{2: 0.56},34.0,['D'],0,1,"{2: ['D', 'C']}",0.56,None,None,None,36.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
88,VPP,6,{2: 'C'},{2: 0.5800000000000001},36.0,['C'],1,0,"{2: ['C', 'D']}",0.5800000000000001,None,None,None,34.0,None,None,None,1,None,None,None,0.01,{},1,0
89,VPP,6,{2: 'D'},{2: 0.5900000000000001},34.0,['D'],0,1,"{2: ['D', 'D']}",0.5900000000000001,None,None,None,35.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
90,VPP,6,{2: 'C'},{2: 0.6100000000000001},35.0,['C'],1,0,"{2: ['C', 'D']}",0.6100000000000001,None,None,None,33.0,None,None,None,1,None,None,None,0.01,{},1,0
91,VPP,6,{2: 'C'},{2: 0.6300000000000001},33.0,['C'],1,0,"{2: ['C', 'D']}",0.6300000000000001,None,None,None,31.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
92,VPP,6,{2: 'C'},{2: 0.6150000000000001},31.0,['C'],1,0,"{2: ['C', 'C']}",0.6150000000000001,None,None,None,32.5,None,None,None,1,None,None,None,0.01,{},1,1
93,VPP,6,{2: 'D'},{2: 0.6250000000000001},32.5,['D'],0,1,"{2: ['D', 'D']}",0.6250000000000001,None,None,None,33.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
94,VPP,6,{2: 'D'},{2: 0.6050000000000001},33.5,['D'],0,1,"{2: ['D', 'C']}",0.6050000000000001,None,None,None,35.5,None,None,None,2,None,None,None,0.01,{},0,0
95,VPP,6,{2: 'D'},{2: 0.6150000000000001},35.5,['D'],0,1,"{2: ['D', 'D']}",0.6150000000000001,None,None,None,36.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
96,VPP,6,{2: 'C'},{2: 0.6350000000000001},36.5,['C'],1,0,"{2: ['C', 'D']}",0.6350000000000001,None,None,None,34.5,None,None,None,1,None,None,None,0.01,{},1,0
97,VPP,6,{2: 'D'},{2: 0.6450000000000001},34.5,['D'],0,1,"{2: ['D', 'D']}",0.6450000000000001,None,None,None,35.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
98,VPP,6,{2: 'D'},{2: 0.6550000000000001},35.5,['D'],0,1,"{2: ['D', 'D']}",0.6550000000000001,None,None,None,36.5,None,None,None,2,None,None,None,0.01,{},0,0
99,VPP,6,{2: 'C'},{2: 0.6400000000000001},36.5,['C'],1,0,"{2: ['C', 'C']}",0.6400000000000001,None,None,None,38.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
100,VPP,6,{2: 'C'},{2: 0.6250000000000001},38.0,['C'],1,0,"{2: ['C', 'C']}",0.6250000000000001,None,None,None,39.5,None,None,None,1,None,None,None,0.01,{},1,1
101,VPP,6,{2: 'D'},{2: 0.6050000000000001},39.5,['D'],0,1,"{2: ['D', 'C']}",0.6050000000000001,None,None,None,41.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
102,VPP,6,{2: 'C'},{2: 0.6250000000000001},41.5,['C'],1,0,"{2: ['C', 'D']}",0.6250000000000001,None,None,None,39.5,None,None,None,1,None,None,None,0.01,{},1,0
103,VPP,6,{2: 'C'},{2: 0.6100000000000001},39.5,['C'],1,0,"{2: ['C', 'C']}",0.6100000000000001,None,None,None,41.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
104,VPP,6,{2: 'C'},{2: 0.5950000000000001},41.0,['C'],1,0,"{2: ['C', 'C']}",0.5950000000000001,None,None,None,42.5,None,None,None,1,None,None,None,0.01,{},1,1
105,VPP,6,{2: 'C'},{2: 0.5800000000000001},42.5,['C'],1,0,"{2: ['C', 'C']}",0.5800000000000001,None,None,None,44.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
106,VPP,6,{2: 'D'},{2: 0.56},44.0,['D'],0,1,"{2: ['D', 'C']}",0.56,None,None,None,46.0,None,None,None,2,None,None,None,0.01,{},0,0
107,VPP,6,{2: 'C'},{2: 0.5800000000000001},46.0,['C'],1,0,"{2: ['C', 'D']}",0.5800000000000001,None,None,None,44.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
108,VPP,6,{2: 'C'},{2: 0.6000000000000001},44.0,['C'],1,0,"{2: ['C', 'D']}",0.6000000000000001,None,None,None,42.0,None,None,None,1,None,None,None,0.01,{},1,0
109,VPP,6,{2: 'D'},{2: 0.5800000000000001},42.0,['D'],0,1,"{2: ['D', 'C']}",0.5800000000000001,None,None,None,44.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
110,VPP,6,{2: 'D'},{2: 0.56},44.0,['D'],0,1,"{2: ['D', 'C']}",0.56,None,None,None,46.0,None,None,None,2,None,None,None,0.01,{},0,0
111,VPP,6,{2: 'D'},{2: 0.5700000000000001},46.0,['D'],0,1,"{2: ['D', 'D']}",0.5700000000000001,None,None,None,47.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
112,VPP,6,{2: 'D'},{2: 0.5800000000000001},47.0,['D'],0,1,"{2: ['D', 'D']}",0.5800000000000001,None,None,None,48.0,None,None,None,2,None,None,None,0.01,{},0,0
113,VPP,6,{2: 'D'},{2: 0.56},48.0,['D'],0,1,"{2: ['D', 'C']}",0.56,None,None,None,50.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
114,VPP,6,{2: 'C'},{2: 0.545},50.0,['C'],1,0,"{2: ['C', 'C']}",0.545,None,None,None,51.5,None,None,None,1,None,None,None,0.01,{},1,1
115,VPP,6,{2: 'C'},{2: 0.53},51.5,['C'],1,0,"{2: ['C', 'C']}",0.53,None,None,None,53.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
116,VPP,6,{2: 'D'},{2: 0.51},53.0,['D'],0,1,"{2: ['D', 'C']}",0.51,None,None,None,55.0,None,None,None,2,None,None,None,0.01,{},0,0
117,VPP,6,{2: 'C'},{2: 0.53},55.0,['C'],1,0,"{2: ['C', 'D']}",0.53,None,None,None,53.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
118,VPP,6,{2: 'C'},{2: 0.55},53.0,['C'],1,0,"{2: ['C', 'D']}",0.55,None,None,None,51.0,None,None,None,1,None,None,None,0.01,{},1,0
119,VPP,6,{2: 'D'},{2: 0.56},51.0,['D'],0,1,"{2: ['D', 'D']}",0.56,None,None,None,52.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
120,VPP,6,{2: 'C'},{2: 0.545},52.0,['C'],1,0,"{2: ['C', 'C']}",0.545,None,None,None,53.5,None,None,None,1,None,None,None,0.01,{},1,1
121,VPP,6,{2: 'D'},{2: 0.555},53.5,['D'],0,1,"{2: ['D', 'D']}",0.555,None,None,None,54.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
122,VPP,6,{2: 'C'},{2: 0.5750000000000001},54.5,['C'],1,0,"{2: ['C', 'D']}",0.5750000000000001,None,None,None,52.5,None,None,None,1,None,None,None,0.01,{},1,0
123,VPP,6,{2: 'D'},{2: 0.555},52.5,['D'],0,1,"{2: ['D', 'C']}",0.555,None,None,None,54.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
124,VPP,6,{2: 'C'},{2: 0.5750000000000001},54.5,['C'],1,0,"{2: ['C', 'D']}",0.5750000000000001,None,None,None,52.5,None,None,None,1,None,None,None,0.01,{},1,0
125,VPP,6,{2: 'D'},{2: 0.5850000000000001},52.5,['D'],0,1,"{2: ['D', 'D']}",0.5850000000000001,None,None,None,53.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
126,VPP,6,{2: 'C'},{2: 0.6050000000000001},53.5,['C'],1,0,"{2: ['C', 'D']}",0.6050000000000001,None,None,None,51.5,None,None,None,1,None,None,None,0.01,{},1,0
127,VPP,6,{2: 'C'},{2: 0.5900000000000001},51.5,['C'],1,0,"{2: ['C', 'C']}",0.5900000000000001,None,None,None,53.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
128,VPP,6,{2: 'D'},{2: 0.6000000000000001},53.0,['D'],0,1,"{2: ['D', 'D']}",0.6000000000000001,None,None,None,54.0,None,None,None,2,None,None,None,0.01,{},0,0
129,VPP,6,{2: 'D'},{2: 0.5800000000000001},54.0,['D'],0,1,"{2: ['D', 'C']}",0.5800000000000001,None,None,None,56.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
130,VPP,6,{2: 'C'},{2: 0.6000000000000001},56.0,['C'],1,0,"{2: ['C', 'D']}",0.6000000000000001,None,None,None,54.0,None,None,None,1,None,None,None,0.01,{},1,0
131,VPP,6,{2: 'D'},{2: 0.6100000000000001},54.0,['D'],0,1,"{2: ['D', 'D']}",0.6100000000000001,None,None,None,55.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
132,VPP,6,{2: 'D'},{2: 0.6200000000000001},55.0,['D'],0,1,"{2: ['D', 'D']}",0.6200000000000001,None,None,None,56.0,None,None,None,2,None,None,None,0.01,{},0,0
133,VPP,6,{2: 'D'},{2: 0.6000000000000001},56.0,['D'],0,1,"{2: ['D', 'C']}",0.6000000000000001,None,None,None,58.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
134,VPP,6,{2: 'D'},{2: 0.6100000000000001},58.0,['D'],0,1,"{2: ['D', 'D']}",0.6100000000000001,None,None,None,59.0,None,None,None,2,None,None,None,0.01,{},0,0
135,VPP,6,{2: 'C'},{2: 0.5950000000000001},59.0,['C'],1,0,"{2: ['C', 'C']}",0.5950000000000001,None,None,None,60.5,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
136,VPP,6,{2: 'C'},{2: 0.6150000000000001},60.5,['C'],1,0,"{2: ['C', 'D']}",0.6150000000000001,None,None,None,58.5,None,None,None,1,None,None,None,0.01,{},1,0
137,VPP,6,{2: 'C'},{2: 0.6350000000000001},58.5,['C'],1,0,"{2: ['C', 'D']}",0.6350000000000001,None,None,None,56.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
138,VPP,6,{2: 'D'},{2: 0.6150000000000001},56.5,['D'],0,1,"{2: ['D', 'C']}",0.6150000000000001,None,None,None,58.5,None,None,None,2,None,None,None,0.01,{},0,0
