,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,LEARN Performance,MutualCooperations,LEARN Cooperations,moodyLEARN Performance,moodyMutualCooperations,moodyLEARN Cooperations,Model Params
2888,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,217125,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2889,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,217200,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2890,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,217275,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2891,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,217350,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2892,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,217425,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2893,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,217500,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2894,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,217575,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2895,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,217650,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2896,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,217725,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2897,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,217800,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2898,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,217875,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2899,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,217950,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2900,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,218025,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2901,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,218100,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2902,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,218175,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2903,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,218250,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2904,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,218325,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2905,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,218400,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2906,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,218475,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
